username,name,bio,created_at,account_age_days,followers,following,statuses_count,default_profile_image,verified,post_text,label
juliana_silva,Lucas Alves,"pai do Theo, torcedor sofredor",2024-04-09 07:00:00,894,45,32,21,0,0,"chuva forte aqui em Curitiba hoje, transito parado coisa de louco",0
bruno_lima73,Fernanda Souza,,2022-07-25 01:00:00,1518,777,218,433,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal depois conto o resto (20)",0
rafael_silva81,Igor Rocha,"pai do Theo, torcedor sofredor",2015-04-10 12:00:00,4181,280,384,283,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
helena_rocha36,Paula Rocha,fotografa e mae de dois,2026-07-11 00:00:00,71,21,425,194,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo depois conto o resto,0
carla_silva5,Bruno Souza,corredora amadora | 42k,2014-11-04 23:00:00,4337,254,448,312,0,0,recomendo muito esse restaurante novo no centro de Goiania amanha continuo (59),0
juliana_silva,Diego Lima,professora de historia,2025-12-20 08:00:00,274,802,641,155,0,0,"terminei de ler o livro que a Nara indicou, valeu a pena ate semana que vem (4)",0
bruno_souza65,Rafael Lima,estudante de enfermagem,2026-08-04 23:00:00,46,2,402,105,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo recomendo,0
diego_lima29,Helena Alves,analista de dados em Sao Paulo,2017-11-22 19:00:00,3223,74,50,1086,0,0,"consegui finalmente organizar a planilha do mes, vitoria pessoal no mais, tudo tranquilo (87)",0
paula_silva82,Nara Souza,estudante de enfermagem,2026-08-23 05:00:00,28,9,414,105,0,0,"obrigada pelas mensagens de aniversario, gente enfim",0
fernanda_silva1,Rafael Rocha,"pai do Theo, torcedor sofredor",2023-10-13 17:00:00,1072,275,174,308,0,0,"terminei de ler o livro que a Juliana indicou, valeu a pena amanha continuo (34)",0
igor_alves64,Fernanda Souza,"dev backend, cafe e gatos",2015-04-26 13:00:00,4164,189,205,2368,0,0,alguem ai assistiu o jogo de ontem? que segundo tempo ate semana que vem,0
otavio_souza47,Rafael Lima,"dev backend, cafe e gatos",2014-02-13 19:00:00,4601,2224,1275,54,0,0,"terminei de ler o livro que a Bruno indicou, valeu a pena depois conto o resto",0
helena_lima,Nara Lima,corredora amadora | 42k,2020-03-15 02:00:00,2380,1264,539,593,0,0,opiniao impopular: filme antigo e melhor que remake coisa de louco,0
paula_lima32,Lucas Alves,,2015-12-15 13:00:00,3931,515,936,162,0,0,"renda extra? venha ser revendedora comigo, explico tudo https://is.gd/84f7yu",0
user459696,Renda Extra 24h,,2026-03-02 12:49:00,201,2,2429,5345,1,0,"GANHE DINHEIRO em casa!!! vagas limitadas, chama no direct agora https://cutt.ly/x8dgxh",1
